Timestamp,1. Gender,2. Age Group,3. Year of Study,4. How often do you feel emotionally overwhelmed due to academics or personal issues?,5. How often do you engage in deep conversations about your feelings? ,6. Whom do you have deep conversations with during overwhelming times?,7. Have you ever felt hesitant to share your feelings with someone (even close ones),8. Have you ever had a conversation with an AI for sharing your feelings or emotional confusions?,"In the upcoming questions it is required to rate the intensity levels of your emotions so for that please refer this scale.

Scale 1–5
1 = Mild
2 = Slight / Low
3 = Moderate
4 = Strong / Intense  
5 = Extremely overwhelming  ","9. When you feel stressed, how intense is it usually?  ","10. When you feel stressed and anxious about any upcoming projects/ exams/ presentations or any other person reasons, what kind of response helps most? 
(Based on the Intensity of the Emotion)","11. When you feel irritated or angry, how intense is it usually? ","12. When you are angry or frustrated, what works better?  ","13. When you feel sad or low, how intense is it usually? ","14.  When you feel sad, what helps you the most?  ","15.  When you feel lonely, what would you prefer?   ",16. Rate your Excitement Level,"17. When you feel happy or proud of something, what kind of response feels meaningful?  ",  18. Would you prefer an AI to:  ,"19. In any of the feelings down situation, what comforts you more?","20. When emotions feel intense, do you prefer:",What situations or factors most commonly trigger strong emotions for you?  ,"What would you want in your personal AI Companion to have the perfect emotional conversation, what would it do (or avoid doing)?  "
3/5/2026 12:58:36,Female,20-25,4th,Sometimes,Rarely,"Friends, Family",In some matters,No,2,2,"Step by Step Guidance and Planning to calmly reach your goal, Light jokes to reduce the worry",3,Distraction,2,Being distracted with funny entertainment,Friendly casual conversation,3,"Someone acknowledging the effort behind the achievement, Just listening and letting you talk about it",Ask reflective questions,Hearing a cheerful voice,Softer tone,,
3/5/2026 14:31:42,Female,20-25,4th,Sometimes,Rarely,Friends,Yes,Yes,3,3,"Step by Step Guidance and Planning to calmly reach your goal, Light jokes to reduce the worry",2,Venting Out,2,"Inspirational Quotes, Being distracted with funny entertainment","Friendly casual conversation, Going Out, Entertainment",4,"A warm celebration of the moment, Someone acknowledging the effort behind the achievement",Give advice immediately,"Hearing a calm voice, Hearing a friendly tone",Encouragement to pause/breathe,N.A,It can deeply understand the emotions  that person is facing through the text
3/5/2026 14:48:06,Female,20-25,4th,Often,Sometimes,No one,Yes,No,,3,"Calm Reassurance, Motivational Push, Slow Music/Melodies to release the emotions",5,"Venting Out, Exercise or do any physical activity to release the energy",4,"Someone who just listens, Being distracted with funny entertainment, Get confidence that things will improve","A warm, nurturing tone, Friendly casual conversation, Entertainment",4,"Someone acknowledging the effort behind the achievement, A calm, mature appreciation, Just listening and letting you talk about it","Mostly listen and validate feelings, Suggest activities (entertainment, walks, journaling)","Hearing a parental tone, Text-Only Support","More detailed guidance and conversations, Encouragement to pause/breathe",,
3/5/2026 18:48:10,Male,20-25,4th,Sometimes,Sometimes,"Friends, Family",In some matters,No,ok,3,"Step by Step Guidance and Planning to calmly reach your goal, Motivational Push, Suggesstion of happy songs or any other entertainments to distract from this feelings",4,"Logical Reasoning, Distraction",3,"Coping up advice, Being distracted with funny entertainment","Friendly casual conversation, Entertainment",5,"A warm celebration of the moment, Encouragement to aim even higher, Casual excitement and hype, A calm, mature appreciation","Give advice immediately, Ask reflective questions, Suggest activities (entertainment, walks, journaling)",Hearing a calm voice,"More detailed guidance and conversations, Softer tone",whenever I am in a tense situation and i do something instinctive and the situation goes against my will.,"The AI should truly listen instead of rushing to respond.
The AI should recognize emotions like stress, sadness, excitement, or anger.
companion must never judge or criticize feelings."
3/5/2026 23:00:20,Female,17-19,1st,Often,Very Frequently,Family,In some matters,No,,4,"Calm Reassurance, Step by Step Guidance and Planning to calmly reach your goal, Motivational Push",3,Distraction,4,Someone who just listens,"Friendly casual conversation, Entertainment",4,"Encouragement to aim even higher, Someone acknowledging the effort behind the achievement, A calm, mature appreciation","Suggest activities (entertainment, walks, journaling)","Hearing a cheerful voice, Hearing a friendly tone","More detailed guidance and conversations, Encouragement to pause/breathe",,
3/5/2026 23:06:49,Female,20-25,Doesn't Apply,Sometimes,Rarely,No one,Yes,Yes,3,3,"Step by Step Guidance and Planning to calmly reach your goal, Light jokes to reduce the worry, Suggesstion of happy songs or any other entertainments to distract from this feelings",3,"Venting Out, Distraction, Exercise or do any physical activity to release the energy",1,"Being distracted with funny entertainment, Listening to emotional songs, Get confidence that things will improve","Friendly casual conversation, Going Out, Entertainment",3,"A warm celebration of the moment, Someone acknowledging the effort behind the achievement, Casual excitement and hype, Just listening and letting you talk about it",Give advice immediately,"Hearing a cheerful voice, Hearing a friendly tone, Text-Only Support","Slower responses, Encouragement to pause/breathe, Distance to vent out",Ghosted friendships nd worthy inteviews,"To be veryyy realistic nd not give consolation in answers
Always facts "
3/5/2026 23:07:09,Female,20-25,4th,Very Frequently,Sometimes,"Friends, Family",In some matters,Yes,,5,"Calm Reassurance, Light jokes to reduce the worry, Suggesstion of happy songs or any other entertainments to distract from this feelings, Slow Music/Melodies to release the emotions",2,Venting Out,5,"Someone who just listens, Being distracted with funny entertainment, Listening to emotional songs, Get confidence that things will improve, Do something that i release all the emotions out","Going Out, Entertainment",4,"A warm celebration of the moment, Casual excitement and hype, Just listening and letting you talk about it, A reflective conversation about how you grew",Listen and respond honestly and comfortingly. Slowing easeing up the emotions first then explain right or wrong.,"Hearing a calm voice, Hearing a friendly tone","Slower responses, Encouragement to pause/breathe, Softer tone","Too much work at one go, spontaneous and recurring planning, doing same thing all day long.",Nio validating my feelings unnecessarily. Listening to me figuring out whats right or wrong based on situation and advising wisely where needed
3/6/2026 3:21:57,Female,20-25,Doesn't Apply,Often,Rarely,"Friends, Family, Online Platforms",Yes,Yes,,,Calm Reassurance,1,Exercise or do any physical activity to release the energy,4,"Someone who just listens, Coping up advice","Friendly casual conversation, Going Out",4,A warm celebration of the moment,Mostly listen and validate feelings,Hearing a calm voice,Slower responses,,
3/6/2026 8:04:04,Female,17-19,2nd,Very Frequently,Sometimes,Family,In some matters,No,,4,Depends on intensity and frequency of feelings and accordingly stuff helps me,,Distraction,,Someone who just listens,"A warm, nurturing tone, Friendly casual conversation, Going Out, Entertainment",,"A warm celebration of the moment, Someone acknowledging the effort behind the achievement, A calm, mature appreciation, Just listening and letting you talk about it",Ask reflective questions,Hearing a calm voice,"Listen to me, guide me, help me reduce that intensity ",,
3/6/2026 8:56:52,Male,20-25,4th,Sometimes,Often,Friends,In some matters,Yes,Ok,4,"Light jokes to reduce the worry, Slow Music/Melodies to release the emotions",4,"Logical Reasoning, Exercise or do any physical activity to release the energy",4,"Someone who just listens, Being distracted with funny entertainment, Get confidence that things will improve","Friendly casual conversation, Going Out, Entertainment",5,"A warm celebration of the moment, Encouragement to aim even higher, Someone acknowledging the effort behind the achievement",Ask reflective questions,Hearing a friendly tone,"Slower responses, Softer tone","Tensed environments, close deadlines majorly.",It should remember the past conversation well so you should be probably using vector databases for it.
